en,fr
"Dissemination area {dat_ped_biv$ID} has a population of {prettyNum(dat_ped_biv$population, ',')}, a capacity for pedestrian social distancing of {round(poly_value_1, 2)}%, and a '{tolower(var_name_ped)}' value of {round(poly_value_2, 2)}. <p>These two scores are {relative_position}, in relative terms. Dissemination area {dat_ped_biv$ID} has a capacity for pedestrian social distancing higher than {percentile_left}% of dissemination areas and a '{tolower(var_name_ped)}' score higher than {percentile_right}% of dissemination areas in the Montreal region.","L'aire de diffusion {dat_ped_biv$ID} a une population de {prettyNum(dat_ped_biv$population, ',')}, une capacité de distanciation sociale des piétons de {round(poly_value_1, 2)}%, et une valeur pour la variable '{tolower(var_name_ped)}' de{round(poly_value_2, 2)}. <p>Ces deux scores sont {relative_position}, en termes relatifs. L'aire de diffusion {dat_ped_biv$ID} a une capacité de distanciation sociale des piétons plus grande que {percentile_left}% des aires de diffusion et une valeur pour la variable '{tolower(var_name_ped)}' plus grand que {percentile_right}% des aires de diffusion de la région de Montréal."
Sidewalk width (meters),Largeur des trottoirs (mètres)
"Sidewalk width in Montreal varies from {min_sidewalk} meters to {max_sidewalk} meters, with an average value of {mean_sidewalk} meters and a median value of {median_sidewalk} meters. Two thirds of Montreal's sidewalks have widths between {quant_low_sidewalk} meters and {quant_high_sidewalk} meters.","La largeur des trottoirs de Montréal varie de {min_sidewalk} mètres à {max_sidewalk} mètres, avec une valeur moyenne de {mean_sidewalk} mètres et une valeur médiane de {median_sidewalk} mètres. Deux tiers des trottoirs montréalais ont une largeur entre {quant_low_sidewalk} mètres et {quant_high_sidewalk} mètres."
Shifting car trips to cycling,Transférer les trajets de voiture en vélo
Share of trips taken by car,Part des trajets effectués en voiture
Average commuting distance,Distance moyenne du trajet domicile-travail
Access to cycling infrastructure,Accès aux infrastructures cyclables
"% of trips taken by car, by census tract","% des trajets effectués en voiture, par secteur de recensement"
Modal shift scenarios,Scénarios de transfert modal
Baseline,Base de référence
Distance,Distance
Elevation/time,Élévation/temps
Show baseline,Afficher la base de référence
Cycling distance (km):,Distance parcourue à vélo (km):
Elevation gain (m):,Gain d'élévation (m):
Time ratio:,Ratio de temps:
VKT Reduction,Réduction de KPV
Cycling network,Réseau cycliste
Criteria: Cycling Distance (km),Critère: Distance parcourue à vélo (km)
Potential Cyclable Trips (per day),Trajets cyclistes potentiels (par jour)
VKT Savings (per day),Économies de KPV (par jour)
Criteria: Elevation Gain (m),Critère: Gain d'élévation (m)
Criteria: Time Ratio,Critère: Ratio de temps
Access to Cycling Infrastructure (km/sq.km),Accès aux infrastructures cyclables (km/km2)
Share of Car Trips by Origin (%),Part des trajets en voiture par origine (%)
Average Commuting Distance (km),Distance moyenne du trajet domicile-travail (km)
Access to cycling inf. (km/sq.km),Accès aux infr. cyclables (km/km2)
Share of trips taken by car (%),Part des trajets effectués en voiture (%)
Average commuting distance (km),Distance moyenne du trajet domicile-travail (km)
Cycling infrastructure (km/sq.km) by census tract:,Infrastructure cyclable (km/km2) par secteur de recensement:
"Length of the average commute (km), by census tract:","Distance moyenne du trajet domicile-travail (km), par secteur de recensement :"
"21.3% of people walk or cycle to work in areas in the highest class of active living potential. In areas with the lowest active living potential, only 2.5% do, compared to a regional average of 6%.","21,3 % des personnes se rendent au travail à pied ou à vélo dans des zones où le potentiel de vie active est le plus élevé. Dans les zones où le potentiel de vie active est le plus faible, seuls 2,5 % le font, contre une moyenne régionale de 6 %."
Two thirds of new immigrants (67.4%) live in areas with the best access to active living potential (ALE class 5).,"Deux tiers des nouveaux immigrants (67,4 %) vivent dans des zones où le potentiel de vie active est le plus grand (Indice AVA classe 5)."
11% of new immigrants live in areas with the worst access to active living potential (ALE class 1).,11 % des nouveaux immigrants vivent dans des zones où l'accès au potentiel de vie active est le plus faible (Indice AVA classe 1).
"While, overall, there is a trend towards lower income DAs being in high ALE class, roughly 340,000 people are in CanALE class 3 or lower AND have median household income less than $50,000.","Alors que, généralement, on observe une tendance à ce que les AD à faible revenu fassent partie de la classe AVA élevée, environ 340 000 personnes font partie de la classe AVA-Can 3 ou moins et ont un revenu par ménage médian inférieur à 50 000 $."
"Areas in class 4 of active living potential have the highest average dwelling values, but nearly 10% fewer renters than areas with active living class 5.","Les zones de classe 4 de potentiel de vie active ont les valeurs propriétés moyennes les plus élevées, mais comptent près de 10 % de locataires de moins que les zones avec un potentiel de de vie active de classe 5."
Roughly 90% of the region’s population live within a 1km walk of a transit station. The vast majority of areas which lack access are located off the island of Montreal.,Environ 90 % de la population de la région vit à moins d'un kilomètre à pied d'une station de transport en commun. La grande majorité des zones qui ne sont pas accessibles sont situées à l'extérieur de l'Île de Montréal.
"The Plateau-Mont-Royal has the highest active mode share to work (36% walking or biking), followed by Ville Marie with 32.5%.","Le Plateau-Mont-Royal a la part la plus élevée de modes de transport actifs pour travailler (36% à pied ou à vélo), suivi de Ville Marie avec 32,5%."
"Saint-Isidore, Sainte-Marthe-sur-le-Lac, Pointe-Calumet, Mascouche, Saint-Joseph-du-Lac, and Léry all have active mode shares of less than 2% to work.","Saint-Isidore, Sainte-Marthe-sur-le-Lac, Pointe-Calumet, Mascouche, Saint-Joseph-du-Lac et Léry ont tous des pourcentages de modes de transport actifs inférieurs à 2% pour les déplacements domicile-travail."
Pierrefonds-Roxboro and L’Île-Bizard-Sainte-Geneviève are the two Montreal boroughs with the lowest active mode share to work (less than 3% walk or bike).,Pierrefonds-Roxboro et L'Île-Bizard-Sainte-Geneviève sont les deux arrondissements de Montréal où le pourcentage de modes de transport actifs pour les déplacements domicile-travail est le plus faible (moins de 3 % à pied ou à vélo).
"Hampstead, Côte-des-Neiges-Notre-Dame-de-Grâce, and Villeray-Saint-Michel-Parc-Extension all have high active living potential (ALE class 4 or higher) and active mode shares of less than 15%.","Hampstead, Côte-des-Neiges-Notre-Dame-de-Grâce et Villeray-Saint-Michel-Parc-Extension ont tous un potentiel de vie active élevé (Indice AVA classe 4 ou plus) et des pourcentages de modes de transport actifs inférieurs à 15 %."
"Sainte-Julie has the highest active mode share (9.1%) of any borough or municipality with low active living potential, followed by Senneville (5.8%) and Montréal-Est (5.8%).","Sainte-Julie a la plus grande proportion de mode de transport actif (9,1 %) de tous les arrondissements ou municipalités à faible potentiel de vie active, suivie de Senneville (5,8 %) et de Montréal-Est (5,8 %)."
Montréal-Est has the highest proportion (22.2%) of people who take public transit to work of any area with low walkability.,"De tous les secteurs où le potentiel piétonnier est faible, c'est à Montréal-Est que l'on trouve la plus forte proportion (22,2 %) de personnes qui prennent le transport en commun pour se rendre au travail."
"Hampstead has the lowest proportion (15.6%) of people who take public transit to work of any area with high walkability, and Côte-des-Neiges-Notre-Dame-de-Grâce has the highest (46.7%).","Hampstead a la plus faible proportion (15,6 %) de personnes qui prennent le transport en commun pour les déplacements domicile-travail parmi tous les secteurs à fort potentiel piétonnier, et Côte-des-Neiges-Notre-Dame-de-Grâce a la plus forte proportion (46,7 %)."
The proportion of people who drive to work in areas with low walkability ranges from 71.2% to 95.7%. Montréal-Est has the lowest proportion with 71.2%.,"La proportion de personnes qui se rendent au travail en voiture dans des zones où le potentiel piétonnier est faible varie entre 71,2 % et 95,7 %. C'est à Montréal-Est que la proportion est la plus petite, soit 71,2 %."
The proportion of people who drive to work in areas with high walkability ranges from 24.9% in Le Plateau-Mont-Royal to 78.9% in Hampstead.,"La proportion de personnes qui se rendent au travail en voiture dans des zones à fort potentiel piétonnier varie de 24,9 % pour le Plateau-Mont-Royal à 78,9 % à Hampstead."
"Sainte-Julie has the highest proportion of people who commute less than 15 minutes to work, and has low active living potential (ALE class 1).",Sainte-Julie compte la plus forte proportion de personnes qui se rendent au travail en moins de 15 minutes dans les arrondissements ou municipalités ayant un faible potentiel de vie active (Indice AVA classe 1).
"Villeray-Saint-Michel-Parc-Extension and Rosemont-La Petite-Patrie have the lowest proportions of people who commute less than 15 minutes to work (11.2% and 11.9%, respectively) of areas with high walkability.","Villeray-Saint-Michel-Parc-Extension et Rosemont-La Petite-Patrie affichent les plus petites proportions de personnes qui se rendent au travail en moins de 15 minutes (respectivement 11,2 % et 11,9 %) parmi les régions où le potentiel piétonnier est élevé."
"Mont-Royal (medium active living potential) has the highest proportion (49.1%) of commutes to work between 15-30 minutes, while Mercier (low active living potential) has the lowest proportion for the same time (19.7%).","Le Mont-Royal (potentiel de vie active moyen) présente la plus grande proportion (49,1 %) de trajets domicile-travail de 15 à 30 minutes, tandis que le Mercier (faible potentiel de vie active) présente la plus faible proportion pour la même durée (19,7 %)."
"Rosemont-La Petite-Patrie (high active living potential) has the highest proportion (35.1%) of commutes to work between 30-45 minutes, while Sainte-Julie (low active living potential) has the lowest proportion for the same time (9.1%).","Rosemont-La Petite-Patrie (fort potentiel de vie active) a la plus grande proportion (35,1 %) de trajets domicile-travail de 30 à 45 minutes, tandis que Sainte-Julie (faible potentiel de vie active) a la plus petite proportion pour la même durée (9,1 %)."
"Léry (low active living potential) has the highest proportion (19.2%) of commutes to work between of up to 60 minutes, while Westmount (high active living potential) has the lowest proportion for the same time (5.5%).","Léry (faible potentiel de vie active) présente la plus grande proportion (19,2 %) de trajets domicile-travail d'une durée maximale de 60 minutes, tandis que Westmount (fort potentiel de vie active) présente la plus petite proportion pour la même durée (5,5 %)."
"Hampstead has the highest proportion of people with income greater than $100,000 (55.0%) of high walkable boroughs or municipalities, closely followed by Westmount (50.1%).","Hampstead a la plus grande proportion de personnes ayant un revenu supérieur à 100 000 $ (55,0 %) parmi les arrondissements ou municipalités avec un fort potentiel piétonnier, suivie de près par Westmount (50,1 %)."
"Sainte-Anne-de-Bellevue has the highest proportion of people with income greater than $100,000 (55.0%) of less walkable boroughs or municipalities, closely followed by Beaconsfield (59.7%).","Sainte-Anne-de-Bellevue compte la plus forte proportion de personnes ayant un revenu supérieur à 100 000 $ (55,0 %) parmi les arrondissements ou municipalités avec un faible potentiel piétonnier, suivie de près par Beaconsfield (59,7 %)."
"Montréal-Est has the highest proportion of people with income less than $50,000 (49.1%) of all boroughs or municipalities with low active living potential.","Montréal-Est compte la plus grande proportion de personnes ayant un revenu inférieur à 50 000 $ (49,1 %) de tous les arrondissements ou municipalités à faible potentiel de vie active."
"Villeray-Saint-Michel-Parc-Extension has the highest proportion of people with income less than $50,000 (57.7%) of all boroughs or municipalities with high active living potential.","Villeray-Saint-Michel-Parc-Extension compte la plus grande proportion de personnes ayant un revenu inférieur à 50 000 $ (57,7 %) de tous les arrondissements ou municipalités à fort potentiel de vie active."
"Sainte-Anne-de-Bellevue has the highest overall median income ($130,553) of any area with low active living potential, and Montréal-Est has the lowest ($50,413).","Sainte-Anne-de-Bellevue a le revenu médian global le plus élevé (130 553 $) de toutes les régions à faible potentiel de vie active, et Montréal-Est a le plus bas (50 413 $)."
Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of new immigrants (12%) of any borough with high active living potential (average ALE class >4 across the entire borough). It also has the highest proportion of immigrants in general (46.7%) for the same conditions.,"Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion de nouveaux immigrants (12 %) de tous les arrondissements à fort potentiel de vie active (classe AVA moyenne > 4 sur l'ensemble de l'arrondissement). Elle a également la plus forte proportion d'immigrants en général (46,7 %) pour les mêmes conditions."
"Senneville has the highest proportion of new immigrants (4.4%) of any borough or municipality with low active living potential, followed by L’Île-Bizard-Sainte-Geneviève (3.6%).","Senneville compte la plus forte proportion de nouveaux immigrants (4,4 %) de tous les arrondissements ou municipalités à faible potentiel de vie active, suivie de L'Île-Bizard-Sainte-Geneviève (3,6 %)."
9910 (20%) of immigrants living in areas with low walkability live in Terrebonne. 1040 of those people are new immigrants.,9910 (20 %) des immigrants vivant dans des zones à faible potentiel piétonnier vivent à Terrebonne. 1040 de ces personnes sont de nouveaux immigrants.
"25 percent of immigrants (76,190 people) living in areas with high walkability live in Côte-des-Neiges-Notre-Dame-de-Grâce. 19,605 of those people (25.7%) are new immigrants.","25 % des immigrants (76 190 personnes) vivant dans des secteurs à fort potentiel piétonnier habitent Côte-des-Neiges-Notre-Dame-de-Grâce. 19 605 de ces personnes (25,7 %) sont de nouveaux immigrants."
"302,195 immigrants live in areas with on average high walkability, while 48,635 immigrants live in areas with on average low walkability.","302 195 immigrants vivent dans des zones où le potentiel piétonnier est, en moyenne, élevé tandis que 48 635 immigrés vivent dans des zones où le potentiel piétionnier est, en moyenne, faible."
"Hampstead has the lowest proportion of renters (31.7%) of all areas with high active living potential, and Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion (73.7%).","Hampstead a la plus petite proportion de locataires (31,7 %) de tous les secteurs à fort potentiel de vie active, et Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion (73,7 %)."
"Montréal-Est has the highest proportion of tenants (56.1%) of all areas with low active living potential, followed by Mirabel with 29.3%.","Montréal-Est compte la plus grande proportion de locataires (56,1 %) de tous les secteurs à faible potentiel de vie active, suivie de Mirabel avec 29,3 %."
Kirkland has the lowest average rent ($125) of all areas with low walkability.,Kirkland a le loyer moyen le plus bas (125 $) de toutes les zones à faible potentiel piétonnier.
"Mercier has the highest average rent of almost $900 per month of all areas with low walkability, followed by Sainte-Julie with average rent of $875.","De tous les quartiers à faible potentiel piétionnier, Mercier a le loyer moyen le plus élevé, soit près de 900 $ par mois, suivi de Sainte-Julie avec un loyer moyen de 875 $."
"Villeray-Saint-Michel-Parc-Extension has the lowest average rent ($747) of all areas with high walkability, followed by Mercier-Hochelage-Maisonneuve ($761).","Villeray-Saint-Michel-Parc-Extension a le loyer moyen le plus bas (747 $) de tous les secteurs à forte potentiel piétonnier, suivi de Mercier-Hochelage-Maisonneuve (761 $)."
"Senneville has by far the highest average property value ($994,294.4) of all areas with low walkability, and Point-Calumet has the lowest average property value ($223,573.2).","Senneville a de loin la valeur moyenne des propriétés la plus élevée (994 294,4 $) de toutes les zones à faible potentiel piétonnier, et Point-Calumet a la valeur moyenne de propriété la plus basse (223 573,2 $)."
"Mercier-Hochelage-Maisonneuve has the lowest average property value ($337,844.8) of all areas with high active living potential, and Westmount has the highest value ($1,242,703.7).","Mercier-Hochelage-Maisonneuve a la plus basse valeur moyenne des propriétés (337 844,8 $) de tous les secteurs à fort potentiel de vie active, et Westmount a la valeur la plus élevée (1 242 703,7 $)."
"Montréal-Est has the highest proportion of unaffordable housing (29.4%) of all areas with low active living potential, and Sainte-Anne-de-Bellevue has the lowest proportion (10.1%).","Montréal-Est a la plus forte proportion de logements inabordables (29,4 %) de tous les secteurs à faible potentiel de vie active, et Sainte-Anne-de-Bellevue a la plus faible proportion (10,1 %)."
"Ville-Marie has the highest proportion of unaffordable housing (43.3%) of all areas with high active living potential, and Hampstead has the lowest (24.0%).","Ville-Marie a la plus grande proportion de logements inabordables (43,3 %) de tous les secteurs à fort potentiel de vie active, et Hampstead a la plus petite (24,0 %)."
"Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of unsuitable housing (14.2%) of any area with high active living potential, and Westmount has the lowest (4.4%).","Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion de logements inadéquats (14,2 %) de tous les secteurs à fort potentiel de vie active, et Westmount a la plus petite (4,4 %)."
"The top 3 boroughs that have the highest proportion of people living in census tracts with a low capacity for pedestrian social distancing were 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).","Les trois arrondissements ayant la plus grande proportion de personnes vivant dans des secteurs de recensement ayant une faible capacité de distanciation sociale des piétons sont 1) Le Plateau-Mont-Royal (74 %), 2) Villeray-Saint-Michel-Parc-Extension (65 %) et 3) Montréal Nord (60 %)."
"14.8% of Montreal Agglomeration's total population live in DAs with a pedestrian social distancing capacity below 25%. Of those, 76.31% were not directly serviced by the original May 15th expanded active transit plan, and 79.85% were not directly serviced by the revised July 25th plan.","14,8 % de la population totale de l'agglomération de Montréal vit dans des AD dont la capacité de distanciation sociale des piétons est inférieure à 25 %. De ce nombre, 76,31 % n'étaient pas directement desservis par le plan des Voies actives sécuritaires du 15 mai, et 79,85 % n'étaient pas directement desservis par le plan révisé du 25 juillet."
"The top 3 boroughs with the lowest proportion of its population commuting to work by car are Le Plateau-Mont-Royal (24.4%), Ville-Marie (26%) and Côte-des-Neiges-Notre-Dame-de-Grâce (40.6%).","Les trois arrondissements ayant la plus petite proportion de leur population se rendant au travail en voiture sont Le Plateau-Mont-Royal (24,4 %), Ville-Marie (26 %) et Côte-des-Neiges-Notre-Dame-de-Grâce (40,6 %)."
Montreal’s borough with the highest population density per square meter of walkable space is Côte-des-Neiges-Notre-Dame-de-Grâce (0.28 people / square meters of walkable space).,"L'arrondissement de Montréal ayant la plus forte densité de population par mètre carré de surface accessible pour les piétons est Côte-des-Neiges-Notre-Dame-de-Grâce (0,28 personne / mètre carré de surface marchable)."
"DAs with a capacity for pedestrian social distancing less than 25% contain, on average, a net median income of $44,773 compared to $54,930 for the city as a whole and $61,651 for DAs with over 100% capacity.","Les AD ayant une capacité de distanciation sociale des piétons inférieure à 25 % ont, en moyenne, un revenu net médian de 44 773 $, contre 54 930 $ pour l'ensemble de la ville et 61 651 $ pour les AD ayant une capacité supérieure à 100 %."
"DAs with a capacity for pedestrian social distancing less than 25% contain, on average, a 50.4% visible minority population compared to 32% for the city as a whole and 28% for DAs with over 100% capacity.","Les AD ayant une capacité de distanciation sociale des piétons inférieure à 25 % contiennent en moyenne 50,4 % de minorités visibles, contre 32 % pour l'ensemble de la ville et 28 % pour les AD ayant une capacité supérieure à 100 %."
"The 3 boroughs or independent municipalities with the highest average 'walkable access to key amenities' index score at the DA level are Le Plateau-Mont-Royal (0.308), Ville-Marie (0.295) and Villeray-Saint-Michel-Parc-Extension (0.237)","Les 3 arrondissements ou municipalités indépendantes avec les moyennes les plus élevés pour l’accès à pied aux services de base, à l’échelle des AD, sont Le Plateau-Mont-Royal (0.308), Ville-Marie (0.295) et Villeray-Saint-Michel-Parc-Extension (0.237)"
The 3 boroughs or independent municipalities with the lowest average 'walkable access to key amenities' index score at the DA level are: 1) Senneville (0.005); 2) Beaconsfield (0.205); 3) B'aie-d'Urfé (0.022),"Les 3 arrondissements ou municipalités indépendantes avec les plus basses moyennes pour l’accès à pied aux services de base, à l’échelle des AD, sont Senneville (0.005), Beaconsfield (0.205), B'aie-d'Urfé (0.022)"
"Of the boroughs and independent municipalities who's average 'walkable access to key amenities' score at the DA level fall in the top quartile, Côte-des-Neiges-Notre-Dame-de-Grâce has the lowest median capacity for pedestrian social distancing (35.78%)","Parmi les arrondissements et municipalités indépendantes dont le score moyen de l’indice de l’accès à pied aux services de base, à l’échelle des AD, se trouve dans le quartile supérieur, Côte-des-Neiges-Notre-Dame-de-Grâce à la capacité de distanciation sociale des piétons la plus faible (35.78%)"
"Denser neighbourhoods generally have better walkable access to key amenities. A correlation test between the 'walkable access to key amenities' index score and the log of population density yielded a p value of 0.558, indicating a moderate to strong positive correlation","Les quartiers les plus denses ont généralement un meilleur accès à pied aux services de base. Un test de corrélation entre l’indice d’accès à pied aux services de base et le log de la densité de la population donne une valeur p de 0.558, indiquant une corrélation positive modérée voire forte entres les deux variables"
"DAs with a capacity for pedestrian social distancing less than 25% contain, on average, a 45.25% immigrant population compared to 33% for the city as a whole and 30% for DAs with over 100% capacity.","Les AD ayant une capacité de distanciation sociale des piétons inférieure à 25% contiennent en moyenne 45,25% de population immigrante contre 33% pour l'ensemble de la ville et 30% pour les AD ayant une capacité supérieure à 100%."
"Of the DAs with a capacity for pedestrian social distancing less than 25%, the ones located in the Ville-Marie borough have the lowest average net median income ($ 13,344).","Parmi les ADs avec une capacité de distanciation sociale des piétons inférieure à 25%, ceux qui se situent dans l’arrondissement de Ville-Marie ont, en moyenne, les revenus médians nets les plus bas (13 344$)."
"Of the DAs with a capacity for pedestrian social distancing less than 25%, the ones located in the independent municipality of Beaconsfield have the highest average net median income ($ 43,349).","Parmi les ADs avec une capacité de distanciation sociale des piétons inférieure à 25%, ceux qui se situent dans la municipalité indépendante de Beaconsfield ont, en moyenne, les revenus médians nets les plus hauts (43 349$)."
"In absolute terms, Côte-des-Neiges-Notre-Dame-de-Grâce is the borough with the highest number of visible minorities (35,055) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes absolus, Côte-des-Neiges-Notre-Dame-de-Grâce est l’arrondissement avec le plus haut nombre de minorités visibles (35,055) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In absolute terms, Outremont is the borough with the lowest number of visible minorities (305) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes absolus, Outremont est l’arrondissement avec le plus bas nombre de minorités visibles (305) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In relative terms, Villeray-Saint-Michel-Parc-Extension is the borough with the highest average percentage of visible minorities (66%) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes relatifs, Villeray-Saint-Michel-Parc-Extension est l’arrondissement avec le plus haut pourcentage moyen de minorités visibles (66%) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In relative terms, Outremont is the borough with the lowest average percentage of visible minorities (6.1%) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes relatifs, Outremont est l’arrondissement avec le plus bas pourcentage moyen de minorités visibles (6.1%) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In absolute terms, Côte-des-Neiges-Notre-Dame-de-Grâce is the borough with the highest number of immigrants (32,270) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes absolus, Côte-des-Neiges-Notre-Dame-de-Grâce est l’arrondissement avec le plus haut nombre d’immigrants (32,270) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In absolute terms, L’Île-Bizard-Sainte-Geneviève is the borough with the lowest number of immigrants (480) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes absolus, L'Île-Bizard-Sainte-Geneviève est l’arrondissement avec le plus bas nombre d’immigrants (480) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In relative terms, Saint-Laurent is the borough with the highest average percentage of immigrants (62%) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes relatifs, Saint-Laurent est l’arrondissement avec le plus haut pourcentage moyen d’immigrants (62%) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"In relative terms, Sainte-Anne-de-Bellevue (independent municipality) has the lowest average percentage of immigrants (12%) living in DAs with less than 25% capacity for pedestrian social distancing.","En termes relatifs, Sainte-Anne-de-Bellevue (municipalité indépendante) a le plus bas pourcentage moyen d’immigrants (12%) vivant dans des AD avec moins de 25% de capacité de distanciation sociale des piétons."
"The top 3 boroughs or independent municipalities in the Montreal agglomeration with the lowest average sidewalk widths are 1) L’Île-Bizard-Sainte-Geneviève (0.48 meters), 2) Pierrefonds-Roxboro (0.67 meters) and 3) Dollard-des-Ormeaux (0.68 meters). More than 75% of trips to work in these three boroughs are done by car.","Les 3 arrondissements ou municipalités indépendantes de l'agglomération de Montréal ayant la plus petite largeur moyenne de trottoir sont 1) L'Île-Bizard-Sainte-Geneviève (0,48 mètre), 2) Pierrefonds-Roxboro (0,67 mètre) et 3) Dollard-des-Ormeaux (0,68 mètre). Plus de 75 % des déplacements domicile-travail dans ces trois arrondissements se font en voiture."
"Le Plateau-Mont-Royal is the borough with the highest average sidewalk width at 3.05 meters. However, 35% of boroughs or independent municipalities in Montreal’s agglomeration have lower population densities per square meter of sidewalk space than the Plateau-Mont-Royal. Further, 62% of boroughs or independent municipalities in Montreal's agglomeration have lower population densities per square meter of total walkable space than the Plateau-Mont-Royal. Only 24% of residents in the Plateau-Mont-Royal commute to work by car.","Le Plateau-Mont-Royal est l'arrondissement où la largeur moyenne des trottoirs est la plus élevée, soit 3,05 mètres. Toutefois, 35 % des arrondissements ou des municipalités indépendantes de l'agglomération de Montréal ont une densité de population par mètre carré de trottoir inférieure à celle du Plateau-Mont-Royal. De plus, 62 % des arrondissements ou des municipalités indépendantes de l'agglomération de Montréal ont une densité de population par mètre carré de surface marchable totale inférieure à celle du Plateau-Mont-Royal. Seulement 24 % des résidents du Plateau-Mont-Royal se rendent au travail en voiture."
"The highest average rent in Montreal is in Westmount, at $1269.1 per month, followed by Outremont at $1137.1 per month.","Le loyer moyen le plus élevé à Montréal se trouve à Westmount, à 1269,1 $ par mois, suivi d'Outremont, à 1177,1 $ par mois."
"The lowest average rent in the Montreal CMA is in Beaconsfield, at $237.4 per month, followed by Rosemère ($276.2) and Boucherville ($362.2). Within the City of Montreal, the borough with the lowest average rent is L'Île-Bizard-Sainte-Geneviève, at $432.9 per month, followed by Pierrefonds-Roxboro ($545.6) and Rivière-des-Prairies-Pointe-aux-Trembles ($610.8).","Le loyer moyen le plus bas de la RMR de Montréal se trouve à Beaconsfield, avec 237,4 $ par mois, suivi de Rosemère (276,2 $) et de Boucherville (362,2 $). Au sein de la Ville de Montréal, l'arrondissement où le loyer moyen est le plus bas est celui de L'Île-Bizard-Sainte-Geneviève, avec 432,9 $ par mois, suivi de Pierrefonds-Roxboro (545,6 $) et de Rivière-des-Prairies-Pointe-aux-Trembles (610,8 $)."
"Westmount has the highest average property value ($1,242,703.7), followed by Hampstead ($1,125,655.9).","Westmount a la valeur moyenne des propriétés la plus élevée (1 242 703,7 $), suivie de Hampstead (1 125 655,9 $)."
"The lowest average property value in the Montreal CMA ($223,573.2) can be found in Pointe-Calumet.","La valeur moyenne des propriétés la plus basse dans la RMR de Montréal (223 573,2 $) se trouve à Pointe-Calumet."
"Baie-d'Urfé has the lowest proportion of tenants, at 2.6%, followed by Lorraine with 2.7%.","Baie-d'Urfé a la plus petite proportion de locataires, avec 2,6%, suivie par la Lorraine avec 2,7%."
"Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of tenants (73.7%), closely followed by Ville-Marie (73.0%) and Le Plateau-Mont-Royal (72.8%).","Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion de locataires (73,7 %), suivie de près par Ville-Marie (73,0 %) et Le Plateau-Mont-Royal (72,8 %)."
The top 10th percentile of tenant proportion in Montreal falls above 64.7%.,"Le 90e percentile de la proportion de locataires à Montréal se situe au-dessus de 64,7 %."
"Sainte-Anne-de-Bellevue has the lowest proportion of unaffordable housing at 10.1%, followed by Mercier with 10.3% unaffordable housing.","Sainte-Anne-de-Bellevue a la plus petite proportion de logements inabordables avec 10,1%, suivie de Mercier avec 10,3% de logements inabordables."
Ville-Marie has the highest proportion of unaffordable housing at 43.3%. Le Plateau-Mont-Royal falls just behind with 38.1% unaffordable housing.,"C'est à Ville-Marie que l'on trouve la plus forte proportion de logements inabordables, soit 43,3 %. Le Plateau-Mont-Royal se situe juste derrière avec 38,1 % de logements inabordables."
The top 10 percentile of Montreal has more than 31.2% unaffordable housing.,"Le 90e percentile de Montréal compte plus de 31,2 % de logements inabordables."
"Sainte-Anne-de-Bellevue, Saint-Bruno-de-Montarville, Sainte-Julie, and Léry have 0% unsuitable housing.","Sainte-Anne-de-Bellevue, Saint-Bruno-de-Montarville, Sainte-Julie et Léry ont 0% de logements de taille non convenable."
"Saint-Laurent has the highest proportion of unsuitable housing at 15.0%, followed by Côte-des-Neiges-Notre-Dame-de-Grâce at 14.2%.","Saint-Laurent présente la plus forte proportion de logements de taille non convenable avec 15,0 %, suivi de Côte-des-Neiges-Notre-Dame-de-Grâce avec 14,2 %."
"Half of areas in Montreal have more than 2.9% unsuitable housing, 30% have more than 5.2% unsuitable housing, and 10% have more than 8.2% unsuitable housing.","La moitié des quartiers de Montréal ont plus de 2,9 % de logements de taille non convenable, 30 % ont plus de 5,2 % de logements de taille non convenable et 10 % en ont plus de 8,2 %."
